regime,factorKey,factorLabel,factorValue,seedRep,metricKey,metricLabel,fixedValue,greedyValue,ratio,arrivalsPerStep,departuresPerStep,gridSize,simDuration,arrivalMin,arrivalMax,departureRate,requestedFactorValue,runSeed,inflowSeedOffset
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,vehiclesInNetwork,Vehicles In Network (Final),158196,152561,0.9643796303319933,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,sumQueueSizes,Total Queue Size (Final),156950,150295,0.9575979611341191,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8452.39557834453,7505.509552040851,0.8879742414411306,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),28375502,23491289,0.8278721905959584,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),8831451.120197292,6408054.598213949,0.7255947534555108,400,160,5,500,0,40,8,0.6842,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,throughput,Network Throughput (Final),36997,42907,1.159742681839068,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,vehiclesInNetwork,Vehicles In Network (Final),162067,156157,0.96353360030111,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,sumQueueSizes,Total Queue Size (Final),161023,153871,0.9555839848965676,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8428.41095950182,7648.311803742358,0.9074441007317029,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),30124650,24281754,0.8060426926121963,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7368,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),9501354.562747044,6745264.084242834,0.7099265730688229,400,160,5,500,0,40,8,0.7368,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,throughput,Network Throughput (Final),32927,38923,1.1820997965195736,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.7895,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.7895,0,vehiclesInNetwork,Vehicles In Network (Final),166137,160141,0.9639093037673727,400,160,5,500,0,40,8,0.7895,2,0
